id;nombre;id_usig;periodo;domicilio;telefono;email;web;funciones;calle;altura;direccion;barrio;comuna;Long;Lat
61;Viajes Ati S.A. Empresa De Viajes Y Turismo.;61;2023;Esmeralda Nº 561 1º, CABA;(11) 5295-9000;ventas@ativiajes.com;;Agencias de viajes;;;;;;;
62;Turplata Compania Turistica Del Plata S.R.L.;62;2023;Cerrito Nº 822 8º Uf 19, CABA ;(11) 4813-2929;turplata@turplata.tur.ar;;Agencias de viajes;;;;;;;
63;Roalco S.A.;63;2023;Reconquista Nº 1166 Pb, CABA ;(11) 4310-4507;grayofre@roalco.com.ar;;Agencias de viajes;;;;;;;
64;Poltur Argentina S.R.L;64;2023;Tucumán Nº 764 Pb Y Ep Uf 4/6/44, CABA;(11) 4322-9575;iplahuta@polvani.tur.ar;;Agencias de viajes;;;;;;;
65;Automovil Club Argentino;65;2023;Av. Del Libertador Nº 1850, CABA;(11) 4802-6061;turismo@aca.org.ar;;Agencias de viajes;;;;;;;
66;Agencia Miyamoyo S.R.L.;66;2023;"Carlos Pellegrini Nº 737 11° ""25"", CABA";;miyamoto@miyamoto.com.ar;;Agencias de viajes;;;;;;;
67;Santa Anita Travel Agency S.R.L.;67;2023;"Paraguay Nº 755 4º ""10"", CABA";(11) 4311-1375;pbyrne@santaanitatravel.com.ar;;Agencias de viajes;;;;;;;
68;Columbia Viajes S.A.C. I. Y F.;68;2023;Av. Cordoba Nº 875 2º A,C,E, F Y 3° A, D, E, F, CABA;(11) 5281-6851;proventas@columbiaviajes.com.ar;;Agencias de viajes;;;;;;;
69;Turismo Jet De Antártica S.A.F.Y C.;69;2023;"Av. Cordoba Nº 443 Pb ""B"", CABA";(11) 4000-8700;administracion@turismojet.com.ar;;Agencias de viajes;;;;;;;
70;Cambio Excursiones Turismo Columbus S.A.;70;2023;San Martin Nº 529 Pb, CABA;(11) 5166-1600;turismo@columbus-sa.com;;Agencias de viajes;;;;;;;
71;Carlos Paretti, Liliana Paretti Y Jorge Paretti;71;2023;"Tucuman Nº 540 10º ""F Y G"", CABA";(11) 4325-1452;fts@logos.org.ar;;Agencias de viajes;;;;;;;
72;Viajes Cleveland S.A;72;2023;"Av. Corrientes Nº 456 6° ""65"", CABA";(11) 4394-8787;cleveland@clevelandviajes.com.ar;;Agencias de viajes;;;;;;;
73;Viajes Apolo S.R.L.;73;2023;"La Pampa Nº 1517 2º ""F"", CABA";(11) 4787-0220;reservas@viajesapolo.com.ar;;Agencias de viajes;;;;;;;
74;Costa Cruceros S.A.;74;2023;Av. Corrientes Nº 327 10º, CABA;(11) 4590-7700;informes@ar.costa.it;;Agencias de viajes;;;;;;;
75;Oceantur S.A.;75;2023;Paraguay Nº 577 2º, CABA;(11) 4311-1761;administracion@oceantur.com.ar;;Agencias de viajes;;;;;;;
76;Tts Viajes S.A.;76;2023;Paraguay 935 Y 917 2°, CABA;(11) 6333-3333;avarrente@ttsviajes.com;;Agencias de viajes;;;;;;;
