subsector;sector;año_emision;alcance_1;alcance_2;alcance_3;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2010; 84.401 ;; 272.051 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2011; 81.737 ;; 275.403 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2012; 82.927 ;; 277.729 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2013; 78.502 ;; 280.267 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2014; 82.728 ;; 282.682 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2015; 85.536 ;; 285.308 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2016; 76.767 ;; 287.496 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2017; 79.958 ;; 290.025 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2018; 63.271 ;; 292.739 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2019; 67.947 ;; 295.767 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2020; 60.449 ;; 298.572 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2021; 72.824 ;; 302.039 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2022; 77.947 ;; 304.859 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2023; 74.413 ;; 303.510 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2000;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2001;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2002;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2003;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2004;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2005;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2006;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2007;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2008;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2009;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2010;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2011;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2012;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2013;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2014;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2015;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2016;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2017;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2018;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2019;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2020;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2021;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2022;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada fuera de la ciudad;Residuos;2023;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2000;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2001;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2002;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2003;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2004;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2005;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2006;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2007;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2008;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2009;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2010;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2011;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2012;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2013;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2014;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2015;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2016;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2017;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2018;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2019;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2020;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2021;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2022;;;;;;;;;;;;;;;;;;;;;;;
Aviación;Transporte;2023;;;;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2000; 753.225 ; 962.307 ; 136.808 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2001; 688.349 ; 724.782 ; 105.394 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2002; 636.307 ; 620.902 ; 101.866 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2003; 703.745 ; 663.800 ; 107.974 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2004; 734.419 ; 897.344 ; 141.931 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2005; 640.204 ; 969.062 ; 148.680 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2006; 632.136 ; 1.076.901 ; 161.733 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2007; 801.418 ; 1.243.003 ; 185.354 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2008; 725.469 ; 1.398.855 ; 202.127 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2009; 611.021 ; 1.331.971 ; 193.442 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2010; 667.624 ; 1.374.651 ; 197.393 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2011; 628.326 ; 1.503.723 ; 211.300 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2012; 692.800 ; 1.599.556 ; 221.254 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2013; 710.246 ; 1.424.028 ; 202.956 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2014; 693.250 ; 1.431.825 ; 207.182 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2015; 646.078 ; 1.547.103 ; 241.873 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2016; 636.117 ; 1.465.584 ; 235.073 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2017; 527.401 ; 1.329.973 ; 209.674 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2018; 400.829 ; 1.260.425 ; 225.033 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2019; 509.288 ; 1.032.939 ; 199.785 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2020; 364.001 ; 888.954 ; 197.725 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2021; 483.520 ; 947.261 ; 199.291 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2022; 506.238 ; 967.184 ; 200.115 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones comerciales;Energía;2023; 514.897 ; 868.925 ; 178.181 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2000; 91.900 ; 220.342 ; 31.328 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2001; 85.568 ; 167.256 ; 24.553 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2002; 81.923 ; 163.760 ; 26.990 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2003; 90.242 ; 261.904 ; 43.647 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2004; 93.494 ; 346.247 ; 54.516 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2005; 107.840 ; 379.286 ; 57.806 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2006; 107.570 ; 421.926 ; 64.052 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2007; 89.033 ; 499.076 ; 75.641 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2008; 100.197 ; 555.398 ; 80.515 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2009; 88.550 ; 523.172 ; 78.111 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2010; 92.678 ; 542.809 ; 80.861 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2011; 91.503 ; 612.520 ; 89.763 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2012; 91.214 ; 614.362 ; 89.918 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2013; 85.844 ; 658.838 ; 99.482 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2014; 91.169 ; 642.615 ; 101.841 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2015; 82.331 ; 623.635 ; 104.637 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2016; 95.504 ; 603.806 ; 108.730 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2017; 80.704 ; 619.450 ; 109.676 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2018; 84.131 ; 549.091 ; 107.419 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2019; 92.440 ; 444.465 ; 95.012 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2020; 49.010 ; 400.484 ; 90.393 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2021; 69.884 ; 517.921 ; 108.155 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2022; 82.996 ; 521.123 ; 105.587 ;;;;;;;;;;;;;;;;;;;;
Edificios e instalaciones institucionales;Energía;2023; 80.759 ; 434.441 ; 78.739 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2000; 2.556.354 ; 799.042 ; 113.348 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2001; 2.399.829 ; 613.545 ; 90.105 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2002; 2.352.363 ; 559.974 ; 92.327 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2003; 2.429.905 ; 658.683 ; 108.532 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2004; 2.370.092 ; 821.025 ; 129.507 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2005; 2.373.542 ; 902.477 ; 137.920 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2006; 2.220.058 ; 1.003.079 ; 151.617 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2007; 2.566.594 ; 1.255.004 ; 188.987 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2008; 2.338.043 ; 1.367.116 ; 197.930 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2009; 2.395.119 ; 1.255.246 ; 185.707 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2010; 2.383.691 ; 1.305.343 ; 192.364 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2011; 2.491.844 ; 1.467.982 ; 212.516 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2012; 2.417.075 ; 1.526.663 ; 219.272 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2013; 2.416.132 ; 1.459.478 ; 215.232 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2014; 2.136.741 ; 1.643.521 ; 249.044 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2015; 2.194.037 ; 1.618.654 ; 262.105 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2016; 2.259.501 ; 1.663.020 ; 282.182 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2017; 1.865.639 ; 1.432.867 ; 241.588 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2018; 1.887.698 ; 1.382.509 ; 259.310 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2019; 1.822.768 ; 1.130.310 ; 229.947 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2020; 1.854.350 ; 1.259.790 ; 282.201 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2021; 1.841.880 ; 1.304.799 ; 273.312 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2022; 1.890.205 ; 1.265.668 ; 258.792 ;;;;;;;;;;;;;;;;;;;;
Edificios residenciales;Energía;2023; 1.754.819 ; 1.099.828 ; 220.910 ;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2000;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2001;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2002;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2003;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2004;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2005;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2006;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2007;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2008;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2009;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2010;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2011;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2012;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2013;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2014;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2015;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2016;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2017;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2018;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2019;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2020;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2021;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2022;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de minería, procesamiento, almacenamiento y transporte de carbón;Energía;2023;;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2000; 229.592 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2001; 186.074 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2002; 140.229 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2003; 158.568 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2004; 202.798 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2005; 197.643 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2006; 205.579 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2007; 210.846 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2008; 201.681 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2009; 202.514 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2010; 171.318 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2011; 178.575 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2012; 185.539 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2013; 175.402 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2014; 163.710 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2015; 165.196 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2016; 155.476 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2017; 193.789 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2018; 197.432 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2019; 194.039 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2020; 172.393 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2021; 154.870 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2022; 161.568 ;;;;;;;;;;;;;;;;;;;;;;
Emisiones fugitivas de sistemas de petróleo y gas natural;Energía;2023; 145.017 ;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2000;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2001;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2002;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2003;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2004;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2005;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2006;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2007;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2008;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2009;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2010;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2011;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2012;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2013;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2014;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2015;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2016;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2017;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2018;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2019;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2020;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2021;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2022;;;;;;;;;;;;;;;;;;;;;;;
Fuentes no especificadas;Energía;2023;;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2000; 7.478.974 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2001; 4.450.637 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2002; 2.605.448 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2003; 3.318.645 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2004; 6.824.914 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2005; 7.206.061 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2006; 8.131.776 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2007; 9.665.648 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2008; 10.164.844 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2009; 8.484.450 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2010; 8.728.532 ;;;;;;;;;;;;;;;;;;;;;;
Generación de energía entregada a la red;Energía;2011; 10.067.596 ;;;;;;;;;;;;;;;;;;;;;;
